ID,类型,面积,面积%,周长,圆形度,长宽比,Extent,Solidity,BBOX_X,BBOX_Y,BBOX_W,BBOX_H,质心X,质心Y
1,气孔,12.5,0.010,13.1,0.919,1.000,0.500,1.000,144,124,5,5,145.9,126.1
2,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,145,117,3,3,146.0,118.0
3,裂纹,3.0,0.002,11.7,0.277,2.000,0.167,0.545,170,114,6,3,172.3,115.2
4,裂纹,38.5,0.030,42.0,0.274,2.125,0.283,0.520,138,110,17,8,145.7,112.5
5,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,665,103,3,3,666.1,103.9
6,不规则缺陷,4.5,0.004,12.2,0.377,2.000,0.250,0.692,650,103,6,3,653.6,104.1
7,不规则缺陷,33.5,0.027,28.2,0.528,3.250,0.644,0.985,676,102,13,4,681.9,103.5
8,气孔,15.0,0.012,15.7,0.769,1.750,0.536,1.000,638,102,7,4,640.9,103.4
9,不规则缺陷,9.0,0.007,19.3,0.303,2.000,0.281,0.621,558,102,8,4,562.0,103.4
10,不规则缺陷,3.0,0.002,10.8,0.322,1.667,0.200,0.600,411,102,5,3,414.2,103.0
11,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,526,101,3,3,526.9,101.9
12,气孔,7.5,0.006,11.4,0.723,1.667,0.500,1.000,127,99,5,3,128.9,100.0
13,气孔,11.0,0.009,12.8,0.840,1.250,0.550,1.000,266,95,5,4,268.0,96.5
14,不规则缺陷,4.0,0.003,8.8,0.645,0.750,0.333,0.889,496,94,3,4,496.7,95.4
15,不规则缺陷,6.0,0.005,10.8,0.643,1.000,0.375,0.857,36,94,4,4,37.5,95.5
16,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,509,93,3,3,510.0,94.0
17,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,628,90,3,3,629.0,91.0
18,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,280,90,3,3,281.0,91.0
19,不规则缺陷,18.5,0.015,25.9,0.347,3.000,0.385,0.712,425,89,12,4,430.4,90.4
20,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,673,88,3,3,674.0,89.0
21,气孔,6.0,0.005,10.0,0.754,1.333,0.500,1.000,421,83,4,3,422.5,84.0
22,不规则缺陷,4.5,0.004,9.4,0.638,1.333,0.375,0.900,331,77,4,3,332.7,77.8
23,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,79,77,3,3,80.0,78.0
24,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,553,76,3,3,554.1,76.9
25,不规则缺陷,8.5,0.007,13.4,0.594,2.000,0.472,0.944,635,73,6,3,637.2,74.1
26,不规则缺陷,4.0,0.003,10.8,0.429,1.667,0.267,0.727,98,62,5,3,99.6,63.4
27,裂纹,34.0,0.027,52.1,0.157,6.250,0.340,0.694,33,61,25,4,45.9,62.7
28,不规则缺陷,32.5,0.026,24.2,0.695,2.000,0.650,0.970,162,29,10,5,166.2,31.0
29,不规则缺陷,52.5,0.042,39.1,0.432,3.600,0.583,0.921,141,29,18,5,150.5,31.3
30,气孔,18.0,0.014,15.7,0.923,0.833,0.600,1.000,127,27,5,6,129.0,29.5
31,不规则缺陷,46.5,0.037,29.1,0.691,1.125,0.646,0.903,174,26,9,8,178.1,29.9
32,不规则缺陷,34.0,0.027,25.7,0.649,0.455,0.618,0.944,186,23,5,11,187.9,28.0
33,不规则缺陷,25.0,0.020,27.7,0.411,0.308,0.481,0.847,193,22,4,13,194.9,28.4
34,不规则缺陷,22.5,0.018,20.2,0.690,2.250,0.625,1.000,162,22,9,4,165.9,23.5
35,不规则缺陷,42.5,0.034,33.1,0.488,3.000,0.567,0.895,144,22,15,5,150.7,23.6
36,不规则缺陷,32.5,0.026,29.1,0.483,0.308,0.625,0.942,135,21,4,13,136.5,26.9
37,不规则缺陷,24.5,0.019,26.7,0.431,0.700,0.350,0.700,119,21,7,10,122.6,25.0
38,裂纹,438.0,0.347,169.6,0.191,4.917,0.619,0.737,115,7,59,12,147.3,12.5
39,气孔,8.5,0.007,12.2,0.713,0.800,0.425,0.895,181,0,4,5,182.8,1.9
40,不规则缺陷,3.5,0.003,9.4,0.496,2.500,0.350,1.000,174,0,5,2,176.2,0.5
41,气孔,5.5,0.004,9.4,0.780,1.333,0.458,1.000,167,0,4,3,168.4,0.9
42,气孔,8.5,0.007,12.2,0.713,1.250,0.425,0.944,154,0,5,4,156.2,1.3
43,气孔,9.0,0.007,11.7,0.832,0.800,0.450,1.000,146,0,4,5,147.3,2.1
