ID,类型,面积,面积%,周长,圆形度,长宽比,Extent,Solidity,BBOX_X,BBOX_Y,BBOX_W,BBOX_H,质心X,质心Y
1,不规则缺陷,14.0,0.011,17.3,0.587,0.857,0.333,0.903,566,141,6,7,568.3,144.5
2,不规则缺陷,11.0,0.009,14.5,0.659,0.833,0.367,0.917,198,141,5,6,199.8,144.0
3,气孔,16.5,0.013,15.1,0.913,0.833,0.550,1.000,114,141,5,6,116.1,143.7
4,气孔,20.0,0.016,16.5,0.925,1.000,0.556,1.000,229,140,6,6,231.8,142.5
5,裂纹,10.5,0.008,22.7,0.255,1.286,0.167,0.583,55,139,9,7,60.3,143.6
6,气孔,27.0,0.021,19.3,0.910,1.000,0.551,0.982,86,137,7,7,88.9,140.0
7,不规则缺陷,42.0,0.033,28.5,0.650,0.385,0.646,0.988,451,135,5,13,452.9,140.9
8,不规则缺陷,7.5,0.006,12.2,0.629,1.250,0.375,0.833,398,135,5,4,399.9,136.5
9,气孔,13.0,0.010,13.7,0.876,0.667,0.542,1.000,258,135,4,6,259.5,137.5
10,气孔,13.0,0.010,14.5,0.779,0.833,0.433,0.929,200,135,5,6,201.9,137.2
11,不规则缺陷,21.0,0.016,22.5,0.522,2.000,0.420,0.808,254,129,10,5,258.5,130.6
12,不规则缺陷,9.0,0.007,19.3,0.303,1.600,0.225,0.600,564,128,8,5,567.3,129.3
13,不规则缺陷,17.0,0.013,21.7,0.455,1.800,0.378,0.739,448,128,9,5,452.5,129.7
14,不规则缺陷,31.0,0.024,35.0,0.319,1.625,0.298,0.530,195,128,13,8,200.5,130.5
15,裂纹,66.0,0.052,62.3,0.214,1.385,0.282,0.420,52,128,18,13,60.5,131.1
16,裂纹,4.5,0.004,15.1,0.249,2.333,0.214,0.562,645,127,7,3,646.8,128.3
17,不规则缺陷,45.0,0.035,41.0,0.337,2.000,0.352,0.592,223,127,16,8,230.2,129.1
18,裂纹,55.0,0.043,48.3,0.296,2.000,0.340,0.531,108,127,18,9,116.3,130.7
19,不规则缺陷,37.0,0.029,28.5,0.573,2.000,0.514,0.851,395,126,12,6,401.0,128.8
20,裂纹,67.5,0.053,68.5,0.181,1.417,0.331,0.486,80,125,17,12,88.8,130.1
21,不规则缺陷,10.5,0.008,14.2,0.650,0.667,0.438,0.875,5,125,4,6,6.5,127.3
22,气孔,6.5,0.005,10.2,0.779,1.000,0.406,1.000,294,114,4,4,295.7,115.3
23,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,6,113,3,3,6.9,114.1
24,不规则缺陷,6.0,0.005,10.8,0.643,1.000,0.375,0.857,25,107,4,4,26.5,108.5
25,气孔,7.0,0.005,10.8,0.750,1.667,0.467,1.000,13,105,5,3,15.0,106.1
26,不规则缺陷,4.0,0.003,8.8,0.645,0.750,0.333,0.889,7,102,3,4,7.7,103.6
27,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,6,94,3,3,7.1,95.1
28,气孔,3.0,0.002,6.8,0.809,1.000,0.333,1.000,86,89,3,3,87.0,90.0
29,不规则缺陷,4.0,0.003,8.8,0.645,1.333,0.333,0.889,42,89,4,3,43.4,90.3
30,不规则缺陷,11.5,0.009,15.1,0.636,0.833,0.383,0.885,514,87,5,6,516.2,89.5
31,不规则缺陷,5.0,0.004,10.8,0.536,0.600,0.333,0.909,6,82,3,5,7.2,83.5
32,不规则缺陷,7.0,0.005,11.7,0.647,1.250,0.350,0.875,697,79,5,4,699.0,80.3
33,气孔,5.0,0.004,8.8,0.806,0.750,0.417,1.000,697,65,3,4,698.0,66.5
34,气孔,3.0,0.002,6.8,0.809,1.000,0.333,1.000,422,62,3,3,423.0,63.0
35,不规则缺陷,3.5,0.003,8.2,0.647,1.333,0.292,0.875,502,60,4,3,503.5,60.8
36,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,7,52,3,3,8.0,53.0
37,气孔,8.0,0.006,11.7,0.740,1.250,0.400,1.000,325,50,5,4,327.0,51.5
38,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,294,49,3,3,295.1,49.9
39,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,592,44,3,3,592.9,45.1
40,裂纹,297.0,0.232,179.3,0.116,7.900,0.376,0.566,473,42,79,10,511.5,47.3
41,裂纹,24.0,0.019,40.1,0.187,2.833,0.235,0.429,514,37,17,6,518.3,39.5
42,气孔,34.5,0.027,24.2,0.738,2.000,0.690,1.000,501,37,10,5,505.6,39.0
43,气孔,5.5,0.004,9.4,0.780,0.750,0.458,1.000,483,37,3,4,484.1,38.6
44,不规则缺陷,9.5,0.007,13.4,0.663,0.500,0.528,1.000,476,36,3,6,477.0,38.4
45,不规则缺陷,27.5,0.022,27.1,0.472,0.333,0.573,0.873,534,31,4,12,535.3,36.3
46,不规则缺陷,10.5,0.008,16.2,0.500,1.750,0.375,0.808,516,30,7,4,518.0,31.4
47,气孔,13.5,0.011,14.2,0.836,1.500,0.562,1.000,501,30,6,4,503.6,31.5
48,不规则缺陷,82.0,0.064,38.5,0.696,0.692,0.701,0.896,489,29,9,13,493.2,35.3
49,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,476,29,3,3,477.1,30.1
50,气孔,7.5,0.006,10.2,0.898,1.000,0.469,1.000,481,23,4,4,482.6,24.6
51,气孔,13.0,0.010,13.7,0.876,0.667,0.542,1.000,510,21,4,6,511.5,23.5
52,裂纹,3.0,0.002,12.8,0.229,3.500,0.214,0.750,538,17,7,2,541.0,17.4
53,不规则缺陷,202.5,0.158,74.4,0.460,2.500,0.562,0.851,478,15,30,12,495.3,20.1
54,不规则缺陷,20.0,0.016,25.3,0.392,0.875,0.357,0.667,490,3,7,8,492.5,5.8
55,不规则缺陷,31.5,0.025,34.4,0.335,0.769,0.242,0.649,694,2,10,13,700.0,7.4
56,裂纹,147.5,0.115,152.0,0.080,4.083,0.251,0.392,498,2,49,12,518.1,5.0
57,不规则缺陷,21.0,0.016,23.7,0.472,0.364,0.477,0.875,484,2,4,11,485.9,7.3
58,不规则缺陷,12.5,0.010,18.2,0.472,1.200,0.417,0.735,477,2,6,5,480.0,3.8
59,不规则缺陷,4.0,0.003,8.8,0.645,0.750,0.333,0.889,470,2,3,4,470.7,3.6
