ID,类型,面积,面积%,周长,圆形度,长宽比,Extent,Solidity,BBOX_X,BBOX_Y,BBOX_W,BBOX_H,质心X,质心Y
1,气孔,9.0,0.007,11.7,0.832,1.250,0.450,1.000,59,142,5,4,60.7,143.6
2,气孔,4.0,0.003,7.7,0.857,1.333,0.333,1.000,115,135,4,3,116.5,136.0
3,不规则缺陷,4.0,0.003,8.5,0.698,1.000,0.250,1.000,59,135,4,4,60.5,136.5
4,不规则缺陷,7.0,0.005,12.5,0.564,0.667,0.292,0.824,52,131,4,6,53.4,133.3
5,气孔,4.0,0.003,7.7,0.857,1.333,0.333,1.000,201,129,4,3,202.5,130.0
6,不规则缺陷,6.0,0.005,15.3,0.322,2.333,0.286,0.600,227,128,7,3,230.3,129.0
7,不规则缺陷,10.0,0.008,16.1,0.482,1.167,0.238,0.870,61,128,7,6,64.0,130.4
8,气孔,4.0,0.003,7.7,0.857,0.750,0.333,1.000,503,60,3,4,504.0,61.5
9,不规则缺陷,7.0,0.005,12.5,0.564,1.500,0.292,0.824,539,46,6,4,541.6,47.6
10,裂纹,75.5,0.059,99.7,0.095,9.200,0.328,0.592,489,45,46,5,512.1,47.0
11,气孔,6.0,0.005,9.7,0.809,1.667,0.400,1.000,541,40,5,3,543.0,41.0
12,不规则缺陷,18.5,0.014,21.1,0.524,1.800,0.411,0.841,514,37,9,5,516.8,39.4
13,气孔,11.0,0.009,12.5,0.887,1.000,0.440,1.000,482,37,5,5,484.0,38.7
14,不规则缺陷,38.0,0.030,26.5,0.681,1.429,0.543,0.884,501,35,10,7,505.9,38.7
15,不规则缺陷,12.5,0.010,15.1,0.692,0.571,0.446,0.926,476,35,4,7,477.3,38.3
16,气孔,7.0,0.005,9.7,0.943,1.000,0.438,1.000,541,31,4,4,542.5,32.5
17,气孔,4.0,0.003,7.7,0.857,0.750,0.333,1.000,482,31,3,4,483.0,32.5
18,不规则缺陷,29.5,0.023,27.9,0.476,0.308,0.567,0.908,534,30,4,13,535.4,36.2
19,不规则缺陷,6.5,0.005,11.1,0.666,1.250,0.325,0.867,516,30,5,4,517.9,31.7
20,气孔,14.5,0.011,15.1,0.802,1.750,0.518,1.000,501,30,7,4,503.8,31.6
21,气孔,4.0,0.003,7.7,0.857,0.750,0.333,1.000,476,29,3,4,477.0,30.5
22,气孔,8.5,0.007,11.1,0.871,1.250,0.425,1.000,481,23,5,4,482.8,24.6
23,气孔,16.0,0.013,15.7,0.820,0.571,0.571,1.000,510,21,4,7,511.5,24.0
24,裂纹,170.5,0.133,1446.3,0.001,70.600,0.024,0.029,0,2,706,10,424.0,4.5
