ID,类型,面积,面积%,周长,圆形度,长宽比,Extent,Solidity,BBOX_X,BBOX_Y,BBOX_W,BBOX_H,质心X,质心Y
1,气孔,9.5,0.008,11.9,0.843,1.000,0.380,1.000,144,124,5,5,145.8,125.8
2,裂纹,25.5,0.020,58.5,0.094,1.231,0.123,0.213,139,110,16,13,146.0,112.8
3,不规则缺陷,52.0,0.041,39.3,0.423,3.600,0.578,0.897,141,29,18,5,150.3,31.2
4,气孔,31.5,0.025,23.1,0.744,1.500,0.583,0.926,162,28,9,6,165.8,30.9
5,气孔,15.0,0.012,14.5,0.898,0.833,0.500,1.000,127,27,5,6,129.0,29.8
6,气孔,44.0,0.035,26.5,0.788,1.125,0.611,0.926,174,26,9,8,178.2,29.7
7,不规则缺陷,29.0,0.023,23.3,0.670,0.455,0.527,0.951,186,23,5,11,187.8,27.9
8,不规则缺陷,25.5,0.020,27.9,0.412,0.308,0.490,0.785,193,22,4,13,194.7,27.7
9,不规则缺陷,25.0,0.020,22.5,0.621,2.000,0.500,0.893,162,22,10,5,166.1,23.6
10,不规则缺陷,42.5,0.034,33.1,0.488,3.000,0.567,0.895,144,22,15,5,150.7,23.6
11,气孔,4.0,0.003,7.7,0.857,1.333,0.333,1.000,128,22,4,3,129.5,23.0
12,不规则缺陷,9.5,0.008,15.1,0.526,0.429,0.452,0.905,113,22,3,7,114.0,24.9
13,不规则缺陷,34.0,0.027,27.7,0.559,0.308,0.654,1.000,135,21,4,13,136.5,27.0
14,不规则缺陷,28.5,0.023,32.4,0.341,0.500,0.291,0.613,120,20,7,14,122.6,25.2
15,裂纹,15.0,0.012,40.1,0.117,0.909,0.136,0.234,176,8,10,11,178.6,14.5
16,裂纹,405.0,0.321,173.3,0.170,4.833,0.582,0.703,117,7,58,12,147.2,12.4
17,气孔,3.0,0.002,6.8,0.809,1.000,0.333,1.000,190,0,3,3,191.0,0.8
18,气孔,7.0,0.006,10.8,0.750,0.600,0.467,1.000,182,0,3,5,183.0,1.8
19,气孔,8.5,0.007,12.2,0.713,1.250,0.425,0.944,174,0,5,4,176.2,1.1
20,气孔,6.5,0.005,10.2,0.779,1.667,0.433,1.000,166,0,5,3,168.1,0.9
21,不规则缺陷,13.0,0.010,16.5,0.601,1.400,0.371,0.839,153,0,7,5,156.4,1.5
22,气孔,11.0,0.009,12.8,0.840,0.800,0.550,1.000,146,0,4,5,147.5,1.8
23,气孔,6.0,0.005,9.7,0.809,0.600,0.400,1.000,140,0,3,5,141.0,2.0
24,气孔,5.0,0.004,8.8,0.806,0.750,0.417,1.000,125,0,3,4,126.0,1.3
