ID,类型,面积,面积%,周长,圆形度,长宽比,Extent,Solidity,BBOX_X,BBOX_Y,BBOX_W,BBOX_H,质心X,质心Y
1,气孔,7.5,0.006,10.2,0.898,1.000,0.469,1.000,145,125,4,4,146.4,126.4
2,气孔,7.0,0.006,9.7,0.943,1.000,0.438,1.000,145,117,4,4,146.5,118.5
3,裂纹,3.0,0.002,11.7,0.277,2.000,0.167,0.545,170,114,6,3,172.3,115.2
4,裂纹,32.0,0.025,42.6,0.221,2.125,0.235,0.454,138,110,17,8,145.0,112.6
5,不规则缺陷,31.5,0.025,29.1,0.468,3.250,0.606,0.913,676,102,13,4,681.9,103.6
6,气孔,10.5,0.008,12.2,0.880,1.250,0.525,1.000,665,102,5,4,667.1,103.6
7,不规则缺陷,9.0,0.007,15.7,0.461,1.750,0.321,0.750,648,102,7,4,649.7,103.7
8,不规则缺陷,24.5,0.019,27.1,0.420,3.000,0.510,0.845,633,102,12,4,639.2,103.4
9,不规则缺陷,10.0,0.008,14.0,0.641,2.000,0.556,1.000,610,102,6,3,612.5,103.0
10,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,599,102,3,3,600.0,103.0
11,气孔,6.0,0.005,10.0,0.754,1.333,0.500,1.000,591,102,4,3,592.5,103.0
12,不规则缺陷,3.5,0.003,8.2,0.647,1.333,0.292,0.875,557,102,4,3,558.5,103.2
13,不规则缺陷,5.0,0.004,12.8,0.382,2.000,0.278,0.714,411,102,6,3,414.7,103.0
14,气孔,5.5,0.004,9.4,0.780,1.333,0.458,1.000,164,101,4,3,165.6,101.9
15,气孔,7.5,0.006,10.2,0.898,1.000,0.469,1.000,525,100,4,4,526.6,101.4
16,气孔,10.5,0.008,12.2,0.880,1.250,0.525,1.000,266,95,5,4,267.9,96.6
17,不规则缺陷,7.0,0.006,15.7,0.359,2.667,0.292,0.778,0,95,8,3,2.7,95.9
18,气孔,5.0,0.004,8.8,0.806,1.333,0.417,1.000,102,94,4,3,103.3,95.0
19,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,63,94,3,3,64.0,95.0
20,不规则缺陷,18.0,0.014,27.3,0.303,2.750,0.409,0.692,34,94,11,4,38.4,95.3
21,气孔,7.0,0.006,10.8,0.750,1.667,0.467,1.000,453,92,5,3,454.8,93.0
22,气孔,6.0,0.005,10.0,0.754,1.333,0.500,1.000,628,90,4,3,629.5,91.0
23,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,367,90,3,3,368.0,91.0
24,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,280,90,3,3,281.0,91.0
25,裂纹,9.0,0.007,25.3,0.176,2.750,0.205,0.462,426,89,11,4,428.3,90.3
26,不规则缺陷,6.5,0.005,11.4,0.627,1.667,0.433,0.929,142,89,5,3,144.3,90.1
27,气孔,5.5,0.004,9.4,0.780,1.333,0.458,1.000,328,88,4,3,329.4,89.1
28,气孔,6.0,0.005,9.7,0.809,1.000,0.375,0.923,156,86,4,4,157.3,87.6
29,气孔,6.0,0.005,9.7,0.809,1.000,0.375,0.923,384,84,4,4,385.3,85.6
30,不规则缺陷,8.0,0.006,12.0,0.698,1.667,0.533,1.000,62,78,5,3,64.0,79.0
31,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,332,77,3,3,333.0,78.0
32,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,79,77,3,3,80.0,78.0
33,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,674,75,3,3,675.0,76.0
34,气孔,7.5,0.006,10.2,0.898,1.000,0.469,1.000,18,75,4,4,19.6,76.6
35,不规则缺陷,8.0,0.006,17.7,0.322,2.333,0.381,0.667,643,73,7,3,645.8,74.0
36,不规则缺陷,26.0,0.021,30.0,0.363,4.667,0.619,1.000,626,73,14,3,632.5,74.0
37,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,302,62,3,3,302.9,62.9
38,不规则缺陷,5.5,0.004,14.2,0.341,2.000,0.306,0.611,98,62,6,3,100.3,63.2
39,裂纹,35.0,0.028,45.3,0.214,5.000,0.438,0.707,38,61,20,4,48.0,62.6
