ID,类型,面积,面积%,周长,圆形度,长宽比,Extent,Solidity,BBOX_X,BBOX_Y,BBOX_W,BBOX_H,质心X,质心Y
1,不规则缺陷,17.0,0.014,23.3,0.393,1.500,0.315,0.680,57,132,9,6,61.6,135.0
2,气孔,20.5,0.017,17.1,0.884,0.714,0.586,1.000,117,131,5,7,118.9,133.8
3,不规则缺陷,10.0,0.008,14.5,0.599,0.833,0.333,0.952,203,129,5,6,205.1,131.7
4,气孔,22.5,0.018,17.9,0.882,0.857,0.536,1.000,88,128,6,7,90.9,130.8
5,气孔,16.5,0.013,15.1,0.913,0.833,0.550,1.000,236,127,5,6,238.1,129.3
6,气孔,15.5,0.013,15.1,0.858,0.833,0.517,0.969,438,126,5,6,439.8,128.6
7,气孔,10.0,0.008,12.5,0.806,1.000,0.400,0.952,205,123,5,5,206.8,124.9
8,不规则缺陷,8.0,0.006,12.0,0.698,1.667,0.533,1.000,13,121,5,3,15.0,122.0
9,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,439,120,3,3,440.0,121.0
10,不规则缺陷,40.5,0.033,37.2,0.368,2.143,0.386,0.596,54,119,15,7,60.7,121.4
11,裂纹,10.5,0.009,21.9,0.275,2.250,0.292,0.525,115,118,9,4,119.1,119.2
12,不规则缺陷,3.5,0.003,8.2,0.647,1.333,0.292,0.875,524,117,4,3,525.8,118.0
13,不规则缺陷,39.0,0.032,27.7,0.641,0.417,0.650,0.987,463,117,5,12,464.8,122.4
14,气孔,6.5,0.005,10.2,0.779,1.000,0.406,0.929,580,116,4,4,581.7,117.3
15,不规则缺陷,27.5,0.022,25.9,0.515,1.833,0.417,0.786,202,116,11,6,207.2,117.7
16,不规则缺陷,25.5,0.021,28.7,0.388,2.600,0.392,0.750,84,116,13,5,89.7,117.8
17,不规则缺陷,24.5,0.020,29.1,0.364,3.250,0.471,0.742,231,114,13,4,236.7,115.3
18,不规则缺陷,18.5,0.015,19.9,0.587,1.167,0.440,0.804,494,112,7,6,496.7,114.3
19,气孔,13.0,0.011,13.7,0.876,1.000,0.520,0.963,440,112,5,5,442.1,113.9
20,气孔,2.5,0.002,6.2,0.806,1.000,0.278,1.000,576,111,3,3,577.1,111.9
21,不规则缺陷,11.5,0.009,19.1,0.397,1.750,0.411,0.697,522,110,7,4,525.6,111.4
22,不规则缺陷,10.0,0.008,17.3,0.419,1.167,0.238,0.741,582,109,7,6,584.8,111.2
23,不规则缺陷,33.0,0.027,32.1,0.401,1.857,0.363,0.653,458,109,13,7,463.8,111.1
24,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,102,94,3,3,103.0,95.0
25,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,89,94,3,3,90.0,95.0
26,气孔,6.0,0.005,10.0,0.754,1.333,0.500,1.000,152,92,4,3,153.5,93.0
27,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,126,90,3,3,127.0,91.0
28,不规则缺陷,16.0,0.013,21.7,0.429,1.333,0.333,0.667,52,90,8,6,55.3,93.7
29,不规则缺陷,4.5,0.004,9.4,0.638,1.333,0.375,0.900,481,82,4,3,482.3,82.8
30,不规则缺陷,10.0,0.008,14.0,0.641,2.000,0.556,1.000,472,81,6,3,474.5,82.0
31,气孔,11.0,0.009,12.8,0.840,1.250,0.550,1.000,488,79,5,4,490.0,80.6
32,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,280,38,3,3,281.1,38.9
33,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,115,34,3,3,116.0,35.0
34,裂纹,325.0,0.264,278.4,0.053,0.053,0.354,0.631,703,27,7,131,707.1,70.0
35,裂纹,4.0,0.003,14.8,0.229,3.500,0.286,0.667,647,27,7,2,649.8,27.5
36,不规则缺陷,20.0,0.016,23.3,0.462,2.000,0.400,0.800,84,27,10,5,88.7,28.7
